"","target_vertical","target_horizontal","target_type","index","batter"
"4101","low","umpLeft","FA",5300,457763
"2217","middle","umpLeft","SL",3265,518614
"3382","low","umpRight","CU",4511,608325
"998","middle","umpMiddle","CU",2027,457574
"2615","high","umpRight","SL",3707,622534
"3957","low","umpLeft","SL",5156,518934
"413","low","umpRight","CU",1428,592663
"4156","low","umpLeft","FA",5355,595751
"2562","high","umpLeft","SL",3649,595978
"109","high","umpLeft","FA",1111,474832
"2215","low","umpMiddle","SL",3263,592273
"1006","high","umpLeft","FA",2035,446359
"4185","high","umpLeft","FA",5384,596748
"2162","low","umpRight","SL",3207,506924
"736","high","umpRight","FA",1752,608700
"606","low","umpLeft","FA",1622,518626
"3002","high","umpRight","CU",4123,518792
"735","middle","umpRight","CU",1751,608700
"1007","low","umpRight","FA",2036,446359
"2925","middle","umpRight","FA",4029,572039
"1658","high","umpMiddle","CU",2694,453400
"1752","middle","umpRight","SL",2788,608701
"251","high","umpLeft","FA",1253,605412
"2523","middle","umpLeft","CU",3603,456501
"3203","middle","umpMiddle","CU",4332,446653
"2131","middle","umpMiddle","FA",3176,572863
"3521","low","umpRight","FA",4652,435622
"3963","middle","umpMiddle","SL",5162,448602
"1063","low","umpLeft","FA",2093,435522
"1361","low","umpLeft","FA",2393,456422
"1300","low","umpLeft","SL",2332,457763
"3595","low","umpRight","FA",4727,488862
"3600","low","umpRight","SL",4732,527043
"1965","middle","umpMiddle","SL",3004,491676
"2875","high","umpLeft","SL",3978,425877
"2758","low","umpLeft","FA",3853,434604
"3115","high","umpMiddle","FA",4244,607208
"3823","low","umpLeft","SL",4957,444876
"1655","high","umpLeft","FA",2691,425796
"2997","low","umpLeft","SL",4113,592178
"3394","low","umpRight","FA",4523,624424
"754","high","umpMiddle","FA",1770,431151
"2601","low","umpRight","SL",3693,592669
"2896","low","umpLeft","FA",3999,572761
"793","low","umpMiddle","CU",1809,493316
"2187","low","umpLeft","CU",3233,467827
"3111","low","umpLeft","SL",4240,542340
"2710","low","umpMiddle","FA",3803,471865
"3223","low","umpMiddle","SL",4352,608070
"618","middle","umpMiddle","FA",1634,430832
"1363","high","umpLeft","FA",2395,456422
"2085","low","umpRight","SL",3130,500208
"2697","low","umpLeft","FA",3790,518934
"2354","low","umpRight","FA",3403,596115
"2939","low","umpMiddle","CU",4048,575929
"1776","high","umpRight","FA",2812,491676
"4291","high","umpLeft","FA",5492,452254
"2439","low","umpLeft","SL",3497,453211
"4353","low","umpRight","FA",5555,596115
"937","high","umpLeft","FA",1960,457574
"3110","low","umpRight","FA",4238,542340
"751","middle","umpRight","FA",1767,452678
"1653","high","umpLeft","SL",2689,425796
"3554","high","umpRight","CU",4686,594777
"3432","high","umpMiddle","SL",4561,571448
"2748","high","umpLeft","FA",3842,448605
"1185","high","umpLeft","FA",2217,452095
"2799","low","umpLeft","FA",3899,607776
"682","low","umpRight","FA",1698,607680
"1310","high","umpRight","FA",2342,607776
"363","high","umpLeft","FA",1375,452095
"2221","low","umpLeft","SL",3269,425772
"4224","low","umpLeft","CU",5423,605509
"1381","low","umpRight","CU",2413,630111
"3793","low","umpRight","SL",4927,456715
"2375","low","umpLeft","FA",3424,448602
"1810","low","umpLeft","FA",2846,452254
"142","low","umpLeft","SL",1144,474832
"1815","high","umpLeft","SL",2851,491676
"4200","low","umpLeft","FA",5399,571841
"2512","low","umpRight","SL",3592,456488
"1767","low","umpRight","CU",2803,457763
"2311","low","umpMiddle","SL",3360,448602
"3828","high","umpLeft","FA",4962,641313
"4042","low","umpRight","FA",5241,452254
"4187","low","umpRight","CU",5386,596748
"92","middle","umpMiddle","CU",1094,493351
"3613","low","umpLeft","SL",4745,458913
"2303","middle","umpMiddle","SL",3352,518934
"1804","low","umpLeft","SL",2840,457763
"4294","low","umpRight","FA",5495,460026
"2041","high","umpRight","FA",3086,608671
"1001","middle","umpLeft","FA",2030,553993
"2886","low","umpLeft","CU",3989,458681
"4283","low","umpLeft","CU",5483,457763
"2450","low","umpRight","CU",3517,605412
"47","high","umpMiddle","SL",1047,571976
"2174","low","umpRight","SL",3219,453568
"37","low","umpLeft","CU",1037,445055
"3242","low","umpLeft","SL",4371,543706
"3285","low","umpLeft","CU",4414,467793
"396","middle","umpMiddle","SL",1411,543829
"2782","low","umpRight","CU",3877,456488
"3573","low","umpRight","SL",4705,455117
"238","middle","umpLeft","FA",1240,518516
"2894","low","umpLeft","SL",3997,572039
"2032","low","umpRight","FA",3077,595978
"770","high","umpRight","CU",1786,608700
"4230","low","umpRight","SL",5429,457763
"1138","middle","umpLeft","FA",2169,425796
"3343","high","umpLeft","CU",4472,608703
"809","low","umpMiddle","CU",1825,446263
"1408","middle","umpRight","CU",2440,430001
"2535","low","umpRight","SL",3622,456488
"1029","low","umpLeft","CU",2058,435522
"1217","low","umpMiddle","CU",2249,425796
"3425","low","umpLeft","SL",4554,453568
"1702","middle","umpRight","FA",2738,453056
"3294","low","umpLeft","SL",4423,608070
"3354","low","umpRight","CU",4483,608061
"1089","low","umpLeft","SL",2120,571841
"2735","low","umpMiddle","CU",3829,642162
"3372","middle","umpRight","SL",4501,518595
"3558","low","umpLeft","SL",4690,594777
"2967","middle","umpRight","FA",4083,518792
"1302","low","umpLeft","SL",2334,457763
"1066","low","umpLeft","FA",2096,435522
"2260","middle","umpMiddle","FA",3308,543302
"2914","low","umpRight","CU",4018,649557
"771","low","umpMiddle","FA",1787,493472
"1243","low","umpMiddle","SL",2275,543063
"1746","low","umpLeft","SL",2782,516770
"2089","low","umpRight","CU",3134,592669
"918","middle","umpMiddle","SL",1941,488862
"4363","middle","umpMiddle","CU",5565,435622
"2909","low","umpRight","SL",4013,425509
"3665","middle","umpMiddle","SL",4799,572008
"4048","middle","umpLeft","FA",5247,596103
"1797","high","umpRight","FA",2833,434636
"1008","middle","umpLeft","SL",2037,446359
"3710","low","umpMiddle","FA",4844,502671
"2488","middle","umpRight","FA",3559,453211
"3706","low","umpLeft","SL",4840,502671
"2745","low","umpLeft","SL",3839,456488
"3930","low","umpLeft","FA",5065,542255
"3085","high","umpMiddle","CU",4213,542979
"175","middle","umpLeft","FA",1177,453923
"2725","low","umpLeft","SL",3819,448602
"3968","low","umpMiddle","CU",5167,596115
"2598","low","umpRight","CU",3690,595978
"1151","middle","umpMiddle","FA",2183,611177
"2386","middle","umpLeft","SL",3435,542436
"169","middle","umpRight","FA",1171,474832
"86","low","umpMiddle","FA",1086,461314
"1816","low","umpLeft","SL",2852,491676
"1602","high","umpMiddle","SL",2634,501896
"3834","low","umpLeft","SL",4968,547989
"1522","high","umpLeft","SL",2554,502517
"3686","low","umpMiddle","SL",4820,606466
"1637","low","umpMiddle","SL",2673,592663
"198","high","umpLeft","FA",1200,474832
"1278","low","umpLeft","CU",2310,543063
"1628","low","umpLeft","FA",2664,570256
"2161","low","umpLeft","FA",3206,506924
"3047","high","umpLeft","FA",4173,519346
"407","low","umpLeft","SL",1422,592885
"761","low","umpLeft","FA",1777,493316
"493","low","umpMiddle","FA",1508,445988
"2308","low","umpLeft","SL",3357,471865
"598","high","umpLeft","FA",1614,607680
"2915","low","umpRight","SL",4019,649557
"1775","high","umpMiddle","FA",2811,452254
"1950","high","umpMiddle","FA",2986,452254
"3808","low","umpLeft","FA",4942,460077
"3691","high","umpMiddle","FA",4825,571681
"3249","low","umpRight","FA",4378,596019
"2844","low","umpLeft","SL",3947,425509
"4355","low","umpLeft","FA",5557,448602
"2866","low","umpLeft","SL",3969,572761
"3302","low","umpLeft","SL",4431,547379
"565","low","umpLeft","FA",1581,445055
"4059","high","umpLeft","FA",5258,491676
"343","middle","umpMiddle","CU",1354,605538
"3807","low","umpRight","FA",4941,624585
"3399","middle","umpMiddle","SL",4528,493316
"3347","low","umpRight","CU",4476,624424
"2251","high","umpRight","FA",3299,605113
"899","middle","umpLeft","FA",1922,543213
"211","high","umpRight","CU",1213,453923
"1483","low","umpRight","FA",2515,150029
"2269","middle","umpRight","SL",3317,502671
"440","low","umpLeft","SL",1455,519317
"1625","low","umpRight","FA",2657,455755
"2506","low","umpRight","FA",3586,457763
"2629","low","umpRight","SL",3722,592669
"492","low","umpLeft","SL",1507,445988
"3742","low","umpRight","FA",4876,593528
