"","index","batter","zone_1","zone_2","zone_3","zone_4","zone_5","zone_6","zone_7","zone_8","zone_9","next1_avg","next1_bbpa","next1_iso","next1_hits","next1_hr","next1_ops","next1_rbi","next2_avg","next2_bbpa","next2_iso","next2_hits","next2_hr","next2_ops","next2_rbi","cur_avg","cur_bbpa","cur_iso","cur_hits","cur_hr","cur_ops","cur_rbi","CU_miss","FA_miss","SL_miss","pitch_count","scoreStd","next1_ab","next2_ab","cur_ab","next1_stkrt","next2_sktrt","cur_stkrt","bats_l","mon_third","mon_second","mon_first","outs_when_up_1","outs_when_up_2","strikes_0","strikes_2","balls_1","balls_2","balls_3","at_bat_pitch_count_2","at_bat_pitch_count_3","at_bat_pitch_count_4","at_bat_pitch_count_5","at_bat_pitch_count_6","at_bat_pitch_count_7","at_bat_pitch_count_8","at_bat_pitch_count_9","at_bat_pitch_count_10","at_bat_pitch_count_11","at_bat_pitch_count_12","lp_type_CH","lp_type_CT","lp_type_CU","lp_type_IB","lp_type_ND","lp_type_SL","lp_type_NA","inning_2","inning_3","inning_4","inning_5","inning_6","inning_7","inning_8","inning_9","lp_horizontal_umpMiddle","lp_horizontal_umpRight","lp_vertical_low","lp_vertical_middle","target_vertical","target_horizontal","target_type"
"59",1059,425834,-1.12252127585459,-0.589421518147323,0.490182015462327,1.59192908282973,-0.586941695878213,-0.727328630217313,-0.664241644276211,-0.335781890784555,-0.169698677352714,0.267370381981663,0.129437305366887,-0.39954847975562,-0.205468564289147,-0.769491763808638,0.00561072144115918,-0.788388308534002,-0.472238952218004,0.120234059388083,-0.581462906742054,-1.13500012661151,-0.849994380407101,-0.522632220925926,-1.18274373238173,0.0284938767704858,0.379041844294196,0.143255127646207,-0.709251355412571,-0.675694523312368,0.115076201153189,-0.903869065147523,0.574175380684964,2.13289866095436,0.467345160028139,0.340900991032838,0.842225632420791,-0.220424735626675,-1.15021301895157,-0.721713060837312,0.0552157952795469,0.15239578722953,0.371943857509483,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,"low","umpLeft","FA"
"62",1062,425834,-1.12252127585459,-0.589421518147323,0.490182015462327,1.59192908282973,-0.586941695878213,-0.727328630217313,-0.664241644276211,-0.335781890784555,-0.169698677352714,0.267370381981663,0.129437305366887,-0.39954847975562,-0.205468564289147,-0.769491763808638,0.00561072144115918,-0.788388308534002,-0.472238952218004,0.120234059388083,-0.581462906742054,-1.13500012661151,-0.849994380407101,-0.522632220925926,-1.18274373238173,0.0284938767704858,0.379041844294196,0.143255127646207,-0.709251355412571,-0.675694523312368,0.115076201153189,-0.903869065147523,0.574175380684964,2.13289866095436,0.467345160028139,0.44233049420147,0.842225632420791,-0.220424735626675,-1.15021301895157,-0.721713060837312,0.0552157952795469,0.15239578722953,0.371943857509483,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,"low","umpLeft","CU"
"69",1069,605486,2.28502663737635,0.109400006777044,-0.729324440891321,1.38934035531556,0.0814475206451179,-0.607824528993325,0.436549200362714,-0.501335569444291,-0.133896983580069,-0.516343155929555,0.100931043004912,-0.591211631587717,-1.16010725321573,-0.865666272378992,-0.56666567162313,-1.2164452395126,-0.798299685777484,0.0636636670371216,-1.4805360491482,-0.828029206386765,-1.03722035517976,-0.96945109243664,-1.09295478460212,0.261623169242075,0.0691073261087208,-0.438668064728468,-0.221394747295284,-0.768520683602576,-0.035241692192235,-0.783674296344257,0.370643906644277,-0.435087062613463,-0.168301515685434,0.678999334928278,0.842225632420791,-1.17180487204758,-0.669981278579963,-0.231022705617332,0.153771561013625,-0.523688866583921,0.0268665543217086,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,"low","umpLeft","FA"
"71",1071,489267,-0.815885151850288,1.04763112212909,-0.819404837646233,-0.0579023408231991,-0.423701173324205,0.74653588927023,-0.473074891978623,-0.937501458383604,-0.740335728217521,-0.844409288078437,0.0439185182809626,-1.49476649022474,-0.853259103203611,-1.0580152895197,-1.02326917672762,-1.1247187543029,-0.073720277867528,-0.360614275595088,-0.0365700931625689,0.621555694674538,0.179748480842513,-0.0996436892291166,0.463386976911052,-0.573756795447786,0.0409314608191322,-0.632642462186693,-1.16346268021142,-0.861346843892783,-0.623986774461812,-1.20435598715569,0.639316131189543,-0.114955209045112,-0.872839029660557,0.746619003707367,3.10393965085739,-0.690916036849534,0.874007805360486,-1.17563397933836,-0.482137290749668,0.0959199087854468,0.114957442818401,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,"high","umpLeft","FA"
"104",1106,452254,-0.208291350582498,0.770314127549255,1.11100583670342,-0.416992633850114,0.390089017930254,-0.21551260756435,0.380329833232717,0.0138472089139742,-0.5485952230127,0.704791891513505,-0.782763090216308,-0.3310973541013,1.27763082743607,-9.56952458050498e-05,0.188252123482954,0.923839415380405,0.469714278064939,0.714223179073176,0.562812001774865,0.775041154786911,0.554200430387828,0.645054429955407,0.642964872470264,0.339332933399272,-0.184475461497577,0.600480493083451,-0.641960788775704,-0.304389882151539,0.421975233400097,-0.212749144528747,0.119362702539697,0.60458306662433,0.314407592727554,-1.31578089405482,-0.514802778641167,1.1437468625926,0.758537154967019,-0.708264748416552,-0.510113855249071,0.428452608107024,-0.0781986721124971,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,"low","umpLeft","SL"
"107",1109,622110,0.0158128283257734,-0.463846013998834,1.88182954347499,0.377793881382787,0.136247133428399,0.0804197771886357,-0.749437987288807,0.419622327464142,-0.372235011598945,0.431403448056104,0.699562552606385,0.558767279404861,0.749170124637432,0.57695135617632,0.626591488383261,0.648659959751304,0.886347437613163,-0.0777623138402816,-0.758553071155387,-0.657489806261906,-0.94360736779343,0.216108313305122,-0.793658292003437,0.727881754185253,-0.832520363158116,-0.369391494207674,1.24217507705658,-0.0259114012809167,0.152655674489545,0.899052466901456,-0.977808443170146,-0.884732183861961,-0.110295229489289,-1.21435139088619,-0.514802778641167,0.739557019837159,-0.82618944124507,1.12344310845329,0.413423921107086,-0.132703732487562,-0.478435097364114,-1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,"high","umpLeft","FA"
"116",1118,518516,-1.4291573998589,1.21150025528987,1.99075028464923,-2.40395892193236,-1.73708777764445,0.950384790862348,-0.0362905033571888,-0.754634491441343,-1.08045883844706,-1.28183079761028,1.01313143858811,-1.07036951116796,-1.24534285044131,-1.15418979809005,-0.992828943053985,-1.094143259233,0.850118467217666,0.43137121731837,-0.36350578131026,-0.316411006012187,-0.662768405634444,0.418666201723312,-0.733798993483699,-0.204635415701104,-1.17063074663318,0.849876146958311,-1.28122117182594,-0.675694523312368,0.0336540089244178,-1.14425860275405,0.879997698748164,3.33434159203406,3.69425891761766,-0.910062881380292,-0.967145582328487,-1.17807027095478,-0.485447266088153,-1.36122640945074,-0.448892879437462,-1.01988893270378,0.657136550417041,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"high","umpLeft","FA"
"126",1128,434636,0.871642510455287,0.732915568376552,0.753339241472996,1.21811504071756,1.03593842874823,-0.212088828712519,-0.175037090722116,0.0464413053470679,-0.0990830783811821,1.12398750481485,0.385993666624661,-0.0709830766148838,1.41400778299701,0.673125864746674,0.717912189404158,1.47419832663861,0.379141852076195,-0.106047510015762,0.630923603472301,-0.606327986224448,-0.28831645608913,0.472284466304598,-0.195065306806061,0.0867761998883832,-0.578937575551818,-1.24227628276969,0.653382618983988,-0.861346843892783,-0.64277651112999,-0.302895221131196,-1.08360404471062,-1.4893860950997,-1.28638387107739,-0.571964537484851,-0.514802778641167,1.06230919514728,-0.680137927422577,0.814625601673407,-1.03443680802203,-0.0773596064693115,-0.388083297689349,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"low","umpRight","CU"
"134",1136,452254,-0.208291350582498,0.770314127549255,1.11100583670342,-0.416992633850114,0.390089017930254,-0.21551260756435,0.380329833232717,0.0138472089139742,-0.5485952230127,0.704791891513505,-0.782763090216308,-0.3310973541013,1.27763082743607,-9.56952458050498e-05,0.188252123482954,0.923839415380405,0.469714278064939,0.714223179073176,0.562812001774865,0.775041154786911,0.554200430387828,0.645054429955407,0.642964872470264,0.339332933399272,-0.184475461497577,0.600480493083451,-0.641960788775704,-0.304389882151539,0.421975233400097,-0.212749144528747,0.119362702539697,0.60458306662433,0.314407592727554,-0.301485862368499,-0.514802778641167,1.1437468625926,0.758537154967019,-0.708264748416552,-0.510113855249071,0.428452608107024,-0.0781986721124971,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,"low","umpRight","CU"
"149",1151,518516,-1.4291573998589,1.21150025528987,1.99075028464923,-2.40395892193236,-1.73708777764445,0.950384790862348,-0.0362905033571888,-0.754634491441343,-1.08045883844706,-1.28183079761028,1.01313143858811,-1.07036951116796,-1.24534285044131,-1.15418979809005,-0.992828943053985,-1.094143259233,0.850118467217666,0.43137121731837,-0.36350578131026,-0.316411006012187,-0.662768405634444,0.418666201723312,-0.733798993483699,-0.204635415701104,-1.17063074663318,0.849876146958311,-1.28122117182594,-0.675694523312368,0.0336540089244178,-1.14425860275405,0.879997698748164,3.33434159203406,3.69425891761766,0.205661653474662,-0.514802778641167,-1.17807027095478,-0.485447266088153,-1.36122640945074,-0.448892879437462,-1.01988893270378,0.657136550417041,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,"low","umpRight","SL"
