"","target_vertical","target_horizontal","target_type","index","batter"
"2049","high","umpLeft","FA",3094,571976
"3688","low","umpRight","CU",4822,571681
"2746","high","umpRight","FA",3840,456488
"3407","low","umpMiddle","SL",4536,457803
"317","low","umpRight","FA",1323,430947
"1609","low","umpLeft","SL",2641,457705
"1090","middle","umpLeft","FA",2121,571841
"3534","low","umpRight","FA",4665,488862
"339","high","umpRight","SL",1346,453211
"3827","low","umpRight","FA",4961,641313
"299","high","umpMiddle","SL",1301,593495
"753","middle","umpMiddle","FA",1769,452678
"1187","high","umpLeft","FA",2219,611177
"1380","low","umpRight","FA",2412,630111
"1526","low","umpLeft","FA",2558,467092
"2722","high","umpMiddle","FA",3815,518934
"2485","middle","umpLeft","FA",3556,453211
"2776","high","umpMiddle","FA",3871,491676
"2537","middle","umpLeft","SL",3624,456488
"1098","low","umpLeft","SL",2129,452678
"348","low","umpRight","FA",1359,593495
"864","middle","umpMiddle","SL",1884,405395
"3585","high","umpLeft","FA",4717,457727
"3848","high","umpMiddle","FA",4982,573135
"1716","high","umpLeft","CU",2752,544369
"2093","high","umpMiddle","FA",3138,572114
"1984","middle","umpMiddle","FA",3026,491676
"1154","low","umpLeft","FA",2186,611177
"1928","middle","umpMiddle","FA",2964,518614
"1954","high","umpRight","FA",2990,434636
"4147","low","umpLeft","SL",5346,571437
"2469","low","umpLeft","SL",3540,452254
"3549","low","umpRight","FA",4681,460060
"2774","low","umpRight","FA",3869,491676
"2418","low","umpLeft","SL",3472,452254
"2657","high","umpMiddle","FA",3750,571976
"2964","low","umpMiddle","SL",4073,519203
"4051","high","umpLeft","FA",5250,593525
"538","low","umpLeft","FA",1554,425834
"1640","low","umpLeft","SL",2676,445988
"3296","middle","umpMiddle","CU",4425,457706
"2571","low","umpLeft","SL",3658,592669
"3822","low","umpLeft","SL",4956,444876
"3202","low","umpRight","FA",4331,446653
"3542","low","umpMiddle","FA",4673,457787
"2057","low","umpMiddle","FA",3102,500208
"4219","high","umpRight","CU",5418,596748
"362","low","umpRight","CU",1374,611177
"3633","middle","umpMiddle","FA",4766,592273
"1026","high","umpLeft","FA",2055,435522
"1793","high","umpRight","SL",2829,605509
"1226","low","umpLeft","FA",2258,622110
"999","low","umpRight","FA",2028,457574
"2435","middle","umpMiddle","FA",3493,453211
"411","high","umpLeft","FA",1426,542303
"3974","low","umpLeft","SL",5173,471865
"3496","middle","umpLeft","SL",4626,608596
"1559","low","umpLeft","CU",2591,455755
"2760","middle","umpRight","FA",3855,607776
"3915","middle","umpMiddle","SL",5050,571602
"2922","middle","umpLeft","SL",4026,451594
"1410","high","umpLeft","SL",2442,456078
"335","low","umpRight","CU",1341,452095
"431","middle","umpMiddle","FA",1446,543829
"1932","low","umpMiddle","SL",2968,571448
"4125","high","umpLeft","FA",5324,546318
"3640","low","umpRight","CU",4773,455104
"4136","high","umpRight","FA",5335,608384
"2336","middle","umpRight","FA",3385,571448
"2947","low","umpLeft","SL",4056,575929
