"","index","batter","zone_1","zone_2","zone_3","zone_4","zone_5","zone_6","zone_7","zone_8","zone_9","next1_avg","next1_bbpa","next1_iso","next1_hits","next1_hr","next1_ops","next1_rbi","next2_avg","next2_bbpa","next2_iso","next2_hits","next2_hr","next2_ops","next2_rbi","cur_avg","cur_bbpa","cur_iso","cur_hits","cur_hr","cur_ops","cur_rbi","CU_miss","FA_miss","SL_miss","pitch_count","scoreStd","next1_ab","next2_ab","cur_ab","next1_stkrt","next2_sktrt","cur_stkrt","bats_l","mon_third","mon_second","mon_first","outs_when_up_1","outs_when_up_2","strikes_0","strikes_2","balls_1","balls_2","balls_3","at_bat_pitch_count_2","at_bat_pitch_count_3","at_bat_pitch_count_4","at_bat_pitch_count_5","at_bat_pitch_count_6","at_bat_pitch_count_7","at_bat_pitch_count_8","at_bat_pitch_count_9","at_bat_pitch_count_10","at_bat_pitch_count_11","at_bat_pitch_count_12","lp_type_CH","lp_type_CT","lp_type_CU","lp_type_IB","lp_type_ND","lp_type_SL","lp_type_NA","inning_2","inning_3","inning_4","inning_5","inning_6","inning_7","inning_8","inning_9","lp_horizontal_umpMiddle","lp_horizontal_umpRight","lp_vertical_low","lp_vertical_middle","target_vertical","target_horizontal","target_type"
"895",1918,405395,0.636018423254436,-0.234081354340532,-0.760259049701339,0.105073018312673,-0.831233898383819,-0.333695111611307,-0.480196376575711,-0.736482255752221,-0.385057388094631,-0.680376222003996,0.67105629024441,0.408174802965357,-0.904400461538964,-0.288619220956867,-0.146590446927003,-0.788388308534002,0.324798396482948,-0.332329079419607,-0.731308430476412,0.519232054599623,-0.756381393020772,-0.194965048484736,0.0743015365327576,-0.262917738819001,-0.0717720003392226,1.0577058585207,0.872076960553807,2.57322108684489,0.309236813391029,1.43992892651615,-1.16089362824854,-0.911566225840371,-0.499565915864367,1.1523370163819,0.389882828733472,-0.803133432388157,0.553521437618816,1.26947769696149,0.678246956620857,-0.832436938020322,-0.781500776612207,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,"middle","umpMiddle","SL"
"2956",4065,595879,0.236360915785539,-0.946991014838952,-1.12964941030957,0.821261719592442,0.00796144986294263,0.362689794299499,0.912734003942474,3.07788832834015,1.07828171831593,0.650114202822024,0.870600126778234,1.43494168778016,1.3969606635519,2.59661603615376,1.26583639552954,1.68822679212791,0.687088100437925,0.940504748477021,1.29841730010717,1.32076723518646,1.86478225379643,1.21102500053565,1.87008049212488,0.300478051320674,-1.28333420779153,-0.133851154436972,0.33375242745887,0.159740919299498,-0.00392546441193829,0.358176007286763,2.538276479302,1.1396157751786,1.15576556485288,-0.470535034316219,-0.967145582328487,1.29428341202208,1.20898186955276,0.363274944032295,0.111607014293501,-0.418586631881613,0.0820713457620452,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,"low","umpLeft","FA"
"158",1160,434636,0.871642510455287,0.732915568376552,0.753339241472996,1.21811504071756,1.03593842874823,-0.212088828712519,-0.175037090722116,0.0464413053470679,-0.0990830783811821,1.12398750481485,0.385993666624661,-0.0709830766148838,1.41400778299701,0.673125864746674,0.717912189404158,1.47419832663861,0.379141852076195,-0.106047510015762,0.630923603472301,-0.606327986224448,-0.28831645608913,0.472284466304598,-0.195065306806061,0.0867761998883832,-0.578937575551818,-1.24227628276969,0.653382618983988,-0.861346843892783,-0.64277651112999,-0.302895221131196,-1.08360404471062,-1.4893860950997,-1.28638387107739,0.509950162980558,-0.967145582328487,1.06230919514728,-0.680137927422577,0.814625601673407,-1.03443680802203,-0.0773596064693115,-0.388083297689349,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,"low","umpLeft","SL"
"659",1675,453064,-0.94081098014834,0.173144657962911,-0.375173662882425,0.195810053128524,-0.224207690098273,0.336857047197834,-0.3766999724576,-0.497664570574769,-0.281287734779893,-1.13602362776633,1.78280052236143,-2.15189729650621,-1.50104964211808,-1.15418979809005,-1.40681612101539,-1.3387472197922,0.904461922810912,-1.0677441799821,2.02040027809999,-1.45902498684874,-0.94360736779343,1.28847360493083,-1.27253268016134,-0.360054944015497,-0.0435961350496339,-0.258548981374403,-0.944768338641606,-0.675694523312368,-0.254455286654312,-0.903869065147523,-0.0155282327485032,-0.0717732597823721,-0.708104493822472,0.408520659811926,0.842225632420791,-1.59080274195675,-1.60816361197337,-0.929531513714371,0.526702651905689,-1.18624315074543,0.0831476402188868,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,"low","umpRight","CU"
"3512",4643,571448,-0.193030524966543,0.631609116171034,0.478629926140599,-0.0549232213551261,0.574712449693114,-0.534089887092979,-0.380806574076607,-0.301606038358049,0.0344107290900901,0.194466797059689,1.12715648803601,0.85995223228387,0.76621724408255,1.73104545902057,0.657031722056893,1.53534931677841,0.397256337273944,-0.304043883244126,-0.758553071155387,0.00761385422504517,-0.475542430861787,-0.123474029043021,-0.195065306806061,0.999865928735441,0.322690113715019,1.63962905089537,1.54498262692248,2.29474260597427,1.39277829458929,2.49163315354472,0.162827559465895,-0.26755800950085,-0.214666318647026,1.49043536027734,1.29456843610811,0.879041835680614,-0.0268866806604554,1.2856915897591,0.681889995166332,0.103372976700315,-0.430604095264663,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,"high","umpRight","FA"
"3457",4586,606132,1.5846376474977,1.38530085106649,1.47726679054208,-0.767633743511687,3.06498199440145,-0.245831040516659,-0.198081050977284,1.14398306000845,-0.220472762988635,-3.90635985480133,0.0154122559189877,-1.59059806614079,-1.58628523934366,-1.15418979809005,-3.24540623490278,-1.399898209932,-1.81271085685142,-1.54859251496527,-1.79384941695641,-1.47607892686123,-1.13083334256609,-2.21458634771316,-1.33239197868108,0.630744548988757,-0.860696228447705,-0.327825551895197,-0.843832488686305,-0.95417300418299,0.133865937821367,-0.963966449549155,0.796172617533355,0.344822339016477,-0.382412404449477,-0.436725199926675,-0.514802778641167,-1.62883809299105,-1.52849617449601,-0.969042430312671,0.923831468455066,-0.112292971424105,-0.118705789395989,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"low","umpLeft","FA"
"448",1463,592663,-0.550133844379891,-0.414366535462067,-0.88475728235078,1.34070831329958,0.269140384000692,-0.347232366790665,-0.0719892274272104,-0.781448744053508,-0.082550467867945,-0.388761882316101,-0.953800664388158,-0.988228160382773,-0.989636058764551,-0.961840780949346,-0.846715821420549,-1.094143259233,0.487828763262688,-0.841462610578258,-0.867531633871284,0.672717514711996,-0.662768405634444,-0.21879538829864,0.0443718872728888,0.0284938767704858,-1.05792728547483,-0.175417096749449,0.316929785799653,-0.211563721861331,-0.260718532210371,-0.00240829912303317,-0.206623724406786,-0.604177740437419,-1.2068683086541,0.171851819085118,0.842225632420791,-0.974347629672787,0.642171312321074,0.457535834558098,0.557472032587766,-0.56518905604461,-0.532441972998267,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,"middle","umpLeft","SL"
"1050",2079,112526,-1.4291573998589,-2.22975154108695,-1.60363417410078,-0.416992633850114,0.546413932139609,-0.318897302305937,-0.964457329177738,-1.21718034900118,-1.08045883844706,0.0486596272157416,1.61176294818958,0.558767279404861,0.953735557978842,1.34634742473915,0.547446880831816,0.709810949891104,0.197997000098706,-0.304043883244126,0.11327543057179,0.706825394736968,0.273361468228842,0.114829369096026,0.343668379871577,-2.32222648898471,-2.21313776234796,-1.97660793029011,-1.46627023007733,-1.13982532476341,-2.70964754462957,-1.29450206375813,-0.348720372050124,1.89632712007717,7.35494337008612,-0.470535034316219,-0.0624599749538478,1.17400503679862,0.822519373206583,-1.45702252067403,0.149231296742425,-0.222304683788631,1.04819557553465,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,"middle","umpMiddle","FA"
"4304",5505,593525,2.62787439465961,-0.475387880188954,-1.60363417410078,-0.858540697868389,-0.72612572037163,1.30300178880006,-0.964457329177738,-1.21718034900118,-0.176370912965127,-0.00601806147573872,0.357487404262686,-1.17989131221487,-0.256609922624499,-1.15418979809005,-0.46316887713278,-0.757812813464102,0.0711956037144633,0.799078767599617,-1.37155748643231,-0.725705566311849,-1.03722035517976,-0.474971541298116,-1.06302513534226,-2.16680696067031,-0.635289306130996,-1.92118667387347,-1.48309287173654,-1.13982532476341,-2.39022202127055,-1.2344046793565,1.8579569795876,0.0926674538369838,0.582677133019475,1.21995668516098,0.389882828733472,-0.190443587506312,-0.748242073819869,-1.50695842209593,-0.0470365551190694,-0.034211182354958,0.538609349804281,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,"high","umpMiddle","FA"
"1834",2870,605509,-0.0768134683527307,1.49827123832129,-0.0256117287959008,1.56997365423214,0.00510975159378456,0.00499109903047659,-0.741697290980806,0.245464660039383,-0.345887398992989,0.230918589520676,-0.184131580614836,-0.112053752007476,-0.768023505978024,-0.769491763808638,0.0847553289926036,-0.818963803603902,0.306683911285199,0.035378470861641,-0.281771859273337,0.672717514711996,-0.101090481316472,0.043338349654312,0.223949782832101,0.689026872106655,0.604448766610905,-1.68564633410277,-1.07934947191534,-1.13982532476341,-0.235665549986134,-1.2344046793565,-0.59231462515299,-0.610874773877032,0.582677133019475,0.780428838096911,-0.967145582328487,-0.827848482717526,0.729169865827899,-1.216321636234,-0.534444606755661,-0.809908006948408,-0.470500959569381,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,"middle","umpMiddle","SL"
"2716",3809,543734,11.7561959323262,2.0308459210939,-1.60363417410078,-1.13952582951638,-0.101217855299147,-1.08394404339367,0.891876322463363,2.31993503233873,-1.08045883844706,1.23334288219781,-0.269650367700761,0.983164258461646,1.58447897744819,1.63487095045022,1.22930811512118,1.07671689072991,1.70149927151186,0.799078767599617,-0.131926335538979,1.69595391546115,-0.101090481316472,1.10378847137307,0.583105573950527,-1.66169349364854,-2.21313776234796,-1.25613159687384,-1.51673815505498,-1.13982532476341,-2.03321702457516,-1.32455075595895,0.239265756129209,-0.869429705832462,-0.45092788885397,0.27328132225375,0.842225632420791,1.16621684587255,1.05700869733658,-1.60103738168129,-0.445774936405422,-0.723709801493093,-0.271487583497928,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,"low","umpLeft","FA"
"334",1340,452095,-1.19370466178417,0.441070748638354,-0.076815996932639,0.484199726318343,-0.417837840269204,-0.66222216491421,-0.604004192936748,-0.725646603910344,-0.46114802298227,0.0304337309852482,-1.09633197619803,0.243892101394989,-0.171374325398912,0.0960788133245491,-0.0735338861102852,-0.0545764268563989,-0.689612774590991,0.0919488632126023,0.794391447546146,-1.20321588666145,-0.662768405634444,-0.051983009601307,-1.09295478460212,-0.360054944015497,-0.578937575551818,-0.591076519874216,-0.271862672272935,-0.304389882151539,-0.542564582233041,-0.242797836729564,1.13506778018347,2.27619706990038,-0.215035010461333,-0.0648170216416905,-0.514802778641167,-0.104731716603654,-1.21165961586122,-0.0918137191711843,-0.0243235391370544,1.85132932177098,0.449692995311213,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,"low","umpLeft","CU"
"3713",4847,572008,0.757681689381564,0.282611636340342,0.508529889288396,0.841419348601988,0.312430834742383,0.188327634701338,-0.374103871058661,-0.190762798797276,-0.438210585372463,0.176240900829196,-0.55471299132051,0.298653001918445,0.391180616289965,0.0960788133245491,0.169987983278774,0.465206989331903,-0.212597997716942,1.1856431153312,0.620328465430474,-0.305041712670529,0.0549311643274117,0.357766444421112,0.01444223801302,0.203340846124178,-0.97339968960606,0.198676384062842,0.0309448775929674,-0.0259114012809167,0.0211275178122991,0.117786469680232,0.653824705459543,-0.389837970714756,0.625949952293118,1.76091403539369,0.842225632420791,0.471755237003973,-0.172941212311134,0.0661536976622845,-0.0396425459507349,0.334647278804869,-0.0195396295554725,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,"high","umpLeft","SL"
"3396",4525,608061,0.500406502412098,1.38530085106649,-0.165880390600779,-0.416992633850114,-0.331022683099993,-0.313961516879564,-0.15146448904295,0.74361187326334,0.266255467218736,0.650114202822024,0.129437305366887,1.24327853594806,-0.154327205953794,0.480776847605966,0.979698198997397,-0.146302912066099,-0.164292703856273,0.742508375248656,1.01234857297794,-0.964460726486652,-0.475542430861787,0.448454126490693,-0.673939694963962,0.630744548988757,-1.114279016054,-0.272404295478561,-0.55784758047962,-0.675694523312368,0.140129183377427,-0.603382143139359,0.0481702644709242,-0.437822331923161,0.315165576877567,1.28757635394007,0.842225632420791,-0.27797424421385,-0.984373705793218,-0.675409388926399,-0.215838618666857,0.0713174390481555,-0.59421822443623,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,"middle","umpRight","FA"
"1497",2529,475582,-0.722799185634695,-0.821742937705293,-0.892657028413966,-0.672577509080611,-0.520273717759517,-0.692824642051064,-0.209622862395964,0.0864719324682747,-0.513283035329707,0.923502646279426,-0.269650367700761,0.435555253227085,0.919641319088607,0.961649390457736,0.724000236138885,1.01556590059011,0.324798396482948,0.714223179073176,0.331232556003583,1.0308502549742,0.741426405160485,0.460369296397646,1.15176890988803,-0.748603764801478,-0.438058249103875,-0.0645745839161775,-0.0531683307031165,0.252567079589705,-0.573880810013338,-0.0324569913238495,0.0447780368083509,-0.392261976570994,-0.273165645867968,0.543759997370102,-0.0624599749538478,0.685978787210375,1.10906065241964,0.355603739278018,-0.536817627454422,-0.262597936406203,0.0277771883786246,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,"low","umpLeft","FA"
