"","target_vertical","target_horizontal","target_type","index","batter"
"1936","middle","umpLeft","FA",2972,572863
"1941","middle","umpMiddle","FA",2977,491676
"1944","low","umpRight","CU",2980,491676
"1945","high","umpRight","FA",2981,474832
"1952","low","umpRight","CU",2988,452254
"1959","low","umpLeft","FA",2995,605412
"1973","high","umpRight","FA",3012,434636
"1979","low","umpMiddle","SL",3018,493596
"1982","low","umpLeft","SL",3021,605412
"1998","high","umpLeft","SL",3040,457763
"2004","high","umpRight","FA",3046,434636
"2027","middle","umpLeft","FA",3072,592669
"2030","low","umpLeft","SL",3075,572114
"2033","low","umpRight","FA",3078,430947
"2039","low","umpRight","FA",3084,608671
"2040","middle","umpMiddle","FA",3085,608671
"2048","low","umpMiddle","FA",3093,622534
"2080","middle","umpMiddle","SL",3125,622534
"2082","middle","umpRight","CU",3127,622534
"2091","low","umpLeft","FA",3136,592669
"2098","high","umpLeft","FA",3143,453568
"2100","low","umpLeft","SL",3145,453568
"2101","high","umpLeft","FA",3146,518934
"2102","high","umpLeft","SL",3147,518934
"2103","high","umpRight","FA",3148,518934
"2106","high","umpRight","FA",3151,518934
"2110","low","umpLeft","FA",3155,571448
"2118","low","umpRight","CU",3163,596115
"2119","low","umpLeft","FA",3164,596115
"2141","low","umpLeft","SL",3186,453568
"2150","middle","umpMiddle","SL",3195,571448
"2151","low","umpLeft","CU",3196,596115
"2155","low","umpRight","SL",3200,448602
"2157","middle","umpMiddle","CU",3202,467827
"2165","low","umpLeft","CU",3210,572863
"2172","low","umpLeft","FA",3217,592351
"2175","high","umpMiddle","FA",3220,453568
"2178","low","umpLeft","FA",3223,518934
"2181","low","umpLeft","CU",3227,571448
"2182","high","umpRight","SL",3228,596115
"2188","middle","umpMiddle","FA",3234,467827
"2193","low","umpLeft","SL",3239,572863
"2198","low","umpRight","FA",3244,572041
"2199","low","umpLeft","SL",3245,572041
"2200","high","umpLeft","SL",3246,572041
"2203","low","umpRight","FA",3249,502671
"2204","low","umpRight","SL",3250,502671
"2210","low","umpLeft","FA",3258,592273
"2211","high","umpRight","SL",3259,592273
"2212","high","umpRight","SL",3260,592273
"2216","low","umpLeft","FA",3264,518614
"2222","middle","umpLeft","SL",3270,425772
"2224","low","umpLeft","SL",3272,425844
"2230","low","umpMiddle","SL",3278,572008
"2231","high","umpRight","FA",3279,572008
"2233","high","umpRight","FA",3281,502671
"2238","low","umpLeft","SL",3286,630111
"2242","middle","umpRight","FA",3290,592273
"2245","middle","umpLeft","FA",3293,518614
"2254","high","umpLeft","CU",3302,425772
"2257","low","umpRight","FA",3305,543302
"2262","low","umpLeft","SL",3310,572041
"2263","middle","umpMiddle","SL",3311,572041
"2270","low","umpRight","SL",3318,630111
"2290","low","umpLeft","SL",3338,572041
"2293","low","umpMiddle","SL",3341,572008
"2304","high","umpRight","FA",3353,571448
"2306","high","umpRight","FA",3355,471865
"2309","low","umpLeft","SL",3358,471865
"2318","low","umpLeft","FA",3367,467827
"2322","middle","umpRight","CU",3371,596115
"2324","high","umpLeft","FA",3373,572863
"2326","low","umpRight","CU",3375,572863
"2330","middle","umpMiddle","FA",3379,542881
"2333","low","umpRight","CU",3382,518934
"2335","low","umpRight","SL",3384,518934
"2346","low","umpLeft","SL",3395,448602
"2362","low","umpLeft","SL",3411,453568
"2366","low","umpLeft","SL",3415,518934
"2368","high","umpMiddle","FA",3417,506924
"2371","low","umpMiddle","SL",3420,448602
"2380","low","umpLeft","SL",3429,596115
"2388","high","umpLeft","CU",3437,542436
"2389","middle","umpLeft","FA",3438,542436
"2393","high","umpLeft","FA",3443,456488
"2394","low","umpRight","SL",3444,456488
"2399","low","umpLeft","SL",3449,457763
"2407","low","umpLeft","SL",3457,543063
"2420","low","umpLeft","FA",3478,456488
"2423","low","umpRight","SL",3481,457763
"2427","low","umpLeft","SL",3485,543063
"2428","middle","umpMiddle","SL",3486,460026
"2437","low","umpLeft","SL",3495,453211
"2444","high","umpRight","CU",3510,543063
"2445","high","umpRight","FA",3511,543063
"2461","low","umpRight","SL",3528,452254
"2476","low","umpRight","FA",3547,434604
"2507","low","umpRight","SL",3587,457763
"2517","low","umpLeft","CU",3597,605412
"2539","low","umpLeft","FA",3626,605412
"2540","low","umpLeft","SL",3627,605412
"2544","middle","umpMiddle","FA",3631,605412
"2573","low","umpLeft","FA",3660,518466
"2576","high","umpLeft","FA",3663,518466
"2579","low","umpLeft","FA",3666,596143
