"","index","batter","zone_1","zone_2","zone_3","zone_4","zone_5","zone_6","zone_7","zone_8","zone_9","next1_avg","next1_bbpa","next1_iso","next1_hits","next1_hr","next1_ops","next1_stkout","next1_rbi","next2_avg","next2_bbpa","next2_iso","next2_hits","next2_hr","next2_ops","next2_stkout","next2_rbi","cur_avg","cur_bbpa","cur_iso","cur_hits","cur_hr","cur_ops","cur_stkout","cur_rbi","CU_miss","FA_miss","SL_miss","bats_l","pitch_count","mon_third","mon_second","mon_first","scoreStd","target_vertical","target_horizontal","target_type","outs_when_up_0","outs_when_up_1","outs_when_up_2","strikes_0","strikes_1","strikes_2","balls_0","balls_1","balls_2","balls_3","at_bat_pitch_count_0","at_bat_pitch_count_1","at_bat_pitch_count_2","at_bat_pitch_count_3","at_bat_pitch_count_4","at_bat_pitch_count_5","at_bat_pitch_count_6","at_bat_pitch_count_7","at_bat_pitch_count_8","at_bat_pitch_count_9","at_bat_pitch_count_10","at_bat_pitch_count_11","at_bat_pitch_count_12","lp_type_CH","lp_type_CT","lp_type_CU","lp_type_FA","lp_type_IB","lp_type_ND","lp_type_SL","lp_type_NA","inning_1","inning_2","inning_3","inning_4","inning_5","inning_6","inning_7","inning_8","inning_9","lp_horizontal_umpLeft","lp_horizontal_umpMiddle","lp_horizontal_umpRight","lp_vertical_high","lp_vertical_low","lp_vertical_middle"
"4239",5342,656555,0,0.0769230769230769,0,0.0961538461538462,0.0444444444444444,0.00862068965517241,0,0,0.00884955752212389,0.272,0.079,0.246,100,19,0.86,103,64,0.23,0.066,0.175,131,23,0.687,94,73,0.263,0.169,0.366,44,18,1.025,43,48,0.0689655172413793,0.0471014492753623,0.114457831325301,-1,20,-1,-1,1,2,"low","umpLeft","FA",-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
"4240",5343,656555,0,0.0769230769230769,0,0.0961538461538462,0.0444444444444444,0.00862068965517241,0,0,0.00884955752212389,0.272,0.079,0.246,100,19,0.86,103,64,0.23,0.066,0.175,131,23,0.687,94,73,0.263,0.169,0.366,44,18,1.025,43,48,0.0689655172413793,0.0471014492753623,0.114457831325301,-1,21,-1,-1,1,2,"low","umpLeft","SL",-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
"4241",5344,571437,0.0677966101694915,0.0919540229885057,0.088,0.0784313725490196,0.0596330275229358,0.0170940170940171,0.0108695652173913,0.0128913443830571,0.011340206185567,0.23,0.066,0.175,131,23,0.687,94,73,0.209,0.181,0.09,14,0,0.648,21,6,0.272,0.079,0.246,100,19,0.86,103,64,0.0932835820895522,0.0794979079497908,0.160130718954248,-1,22,-1,-1,-1,2,"low","umpLeft","FA",1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
"4242",5345,571437,0.0677966101694915,0.0919540229885057,0.088,0.0784313725490196,0.0596330275229358,0.0170940170940171,0.0108695652173913,0.0128913443830571,0.011340206185567,0.23,0.066,0.175,131,23,0.687,94,73,0.209,0.181,0.09,14,0,0.648,21,6,0.272,0.079,0.246,100,19,0.86,103,64,0.0932835820895522,0.0794979079497908,0.160130718954248,-1,23,-1,-1,-1,2,"low","umpLeft","FA",1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
"4243",5346,571437,0.0677966101694915,0.0919540229885057,0.088,0.0784313725490196,0.0596330275229358,0.0170940170940171,0.0108695652173913,0.0128913443830571,0.011340206185567,0.23,0.066,0.175,131,23,0.687,94,73,0.209,0.181,0.09,14,0,0.648,21,6,0.272,0.079,0.246,100,19,0.86,103,64,0.0932835820895522,0.0794979079497908,0.160130718954248,-1,24,-1,-1,-1,2,"low","umpLeft","SL",1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
"4244",5347,571437,0.0677966101694915,0.0919540229885057,0.088,0.0784313725490196,0.0596330275229358,0.0170940170940171,0.0108695652173913,0.0128913443830571,0.011340206185567,0.23,0.066,0.175,131,23,0.687,94,73,0.209,0.181,0.09,14,0,0.648,21,6,0.272,0.079,0.246,100,19,0.86,103,64,0.0932835820895522,0.0794979079497908,0.160130718954248,-1,25,-1,-1,-1,2,"middle","umpMiddle","SL",1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
"4245",5348,571437,0.0677966101694915,0.0919540229885057,0.088,0.0784313725490196,0.0596330275229358,0.0170940170940171,0.0108695652173913,0.0128913443830571,0.011340206185567,0.23,0.066,0.175,131,23,0.687,94,73,0.209,0.181,0.09,14,0,0.648,21,6,0.272,0.079,0.246,100,19,0.86,103,64,0.0932835820895522,0.0794979079497908,0.160130718954248,-1,26,-1,-1,-1,2,"high","umpMiddle","SL",1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1
"4246",5349,596748,0.104972375690608,0.0840840840840841,0.0710900473933649,0.0746268656716418,0.0532915360501567,0.0282861896838602,0.0262773722627737,0.00915032679738562,0.0162259615384615,0.209,0.181,0.09,14,0,0.648,21,6,0.318,0.026,0.196,34,5,0.874,33,14,0.23,0.066,0.175,131,23,0.687,94,73,0.127429805615551,0.0563237774030354,0.168269230769231,-1,27,-1,-1,-1,2,"high","umpLeft","FA",-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
"4247",5350,641487,0.04,0,0.133333333333333,0.0454545454545455,0.142857142857143,0,0.0444444444444444,0,0,0.318,0.026,0.196,34,5,0.874,33,14,0.07,0,0,3,0,0.14,20,0,0.209,0.181,0.09,14,0,0.648,21,6,0.102564102564103,0.0653846153846154,0.0923076923076923,1,28,-1,-1,-1,2,"low","umpLeft","FA",-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
"4248",5351,641487,0.04,0,0.133333333333333,0.0454545454545455,0.142857142857143,0,0.0444444444444444,0,0,0.318,0.026,0.196,34,5,0.874,33,14,0.07,0,0,3,0,0.14,20,0,0.209,0.181,0.09,14,0,0.648,21,6,0.102564102564103,0.0653846153846154,0.0923076923076923,1,29,-1,-1,-1,2,"middle","umpMiddle","FA",-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
"4249",5352,641487,0.04,0,0.133333333333333,0.0454545454545455,0.142857142857143,0,0.0444444444444444,0,0,0.318,0.026,0.196,34,5,0.874,33,14,0.07,0,0,3,0,0.14,20,0,0.209,0.181,0.09,14,0,0.648,21,6,0.102564102564103,0.0653846153846154,0.0923076923076923,1,30,-1,-1,-1,2,"high","umpRight","FA",-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1
"4250",5353,641487,0.04,0,0.133333333333333,0.0454545454545455,0.142857142857143,0,0.0444444444444444,0,0,0.318,0.026,0.196,34,5,0.874,33,14,0.07,0,0,3,0,0.14,20,0,0.209,0.181,0.09,14,0,0.648,21,6,0.102564102564103,0.0653846153846154,0.0923076923076923,1,31,-1,-1,-1,2,"middle","umpLeft","FA",-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
"4251",5354,641487,0.04,0,0.133333333333333,0.0454545454545455,0.142857142857143,0,0.0444444444444444,0,0,0.318,0.026,0.196,34,5,0.874,33,14,0.07,0,0,3,0,0.14,20,0,0.209,0.181,0.09,14,0,0.648,21,6,0.102564102564103,0.0653846153846154,0.0923076923076923,1,32,-1,-1,-1,2,"low","umpRight","SL",-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1
"4252",5355,595751,0,0.032258064516129,0,0.137931034482759,0.19047619047619,0.0344827586206897,0,0,0.0294117647058824,0.07,0,0,3,0,0.14,20,0,0.28,0.056,0.171,146,14,0.775,125,54,0.318,0.026,0.196,34,5,0.874,33,14,0.211538461538462,0.146953405017921,0.219047619047619,-1,33,-1,-1,-1,2,"low","umpLeft","FA",1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
"4253",5356,595751,0,0.032258064516129,0,0.137931034482759,0.19047619047619,0.0344827586206897,0,0,0.0294117647058824,0.07,0,0,3,0,0.14,20,0,0.28,0.056,0.171,146,14,0.775,125,54,0.318,0.026,0.196,34,5,0.874,33,14,0.211538461538462,0.146953405017921,0.219047619047619,-1,34,-1,-1,-1,2,"middle","umpLeft","SL",1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
